0;TCP,UDP;Reservada.;Fora de Serviço
1;TCP,UDP;TCPMUX (Serviço de porta TCP multiplexador);Oficial
5;TCP,UDP;RJE (Remote Job Entry - Entrada de trabalho remoto);Oficial
7;TCP,UDP;ECHO protocol (Serviço Echo);Oficial
9;TCP,UDP;DISCARD protocol (Serviço zero para teste de conexão);Oficial
11;TCP,UDP;SYSTAT protocol (Serviço de Estado do Sistema para listar as portas conectadas);Oficial
13;TCP,UDP;DAYTIME protocol (Envia data e hora para a máquina requerente);Oficial
17;TCP,UDP;QOTD protocol (Envia a citação do dia para a máquina conectada);Oficial
18;TCP,UDP;Message Send Protocol (Protocolo de envio de mensagem);Oficial
19;TCP,UDP;CHARGEN protocol (Character Generator Protocol - Protocolo de geração de caracter);Oficial
20;TCP;FTP (File Transfer Protocol - Protocolo de transferência de arquivo) - Porta de dados do FTP;Oficial
21;TCP;FTP (File Transfer Protocol - Protocolo de transferência de arquivo) - Porta do Protocolo de Transferência de Arquivos;Oficial
22;TCP,UDP;SSH (Secure Shell - Shell seguro) - Usada para logins seguros, transferência de arquivos e redirecionamento de porta;Oficial
23;TCP,UDP;Telnet protocol - Comunicação de texto sem encriptação;Oficial
25;TCP,UDP;SMTP (Simple Mail Transfer Protocol - Protocolo simples de envio de e-mail) - usada para roteamento de e-mail entre servidores (Atualmente é utilizada a porta 587,conforme Comitê Gestor da Internet no Brasil CGI.br;Oficial
26;TCP,UDP;RSFTP - protocolo similar ao FTP;Não-oficial
35;TCP,UDP;QMS Magicolor 2 printer;Não-oficial
37;TCP,UDP;TIME protocol (Protocolo de Tempo);Oficial
38;TCP,UDP;Route Access Protocol (Protocolo de Acesso ao roteador);Oficial
39;TCP,UDP;Resource Location Protocol (Protocolo de localização de recursos);Oficial
41;TCP,UDP;Graphics (gráficos);Oficial
42;TCP,UDP;Host Name Server (Servidor do Nome do Host);Oficial
42;TCP,UDP;WINS [3];Não-oficial/Conflito
43;TCP;WHOIS (protocolo de consulta de informações de contato e DNSprotocol);Oficial
49;TCP,UDP;TACACS Login Host protocol(Protocolo de Login no Host);Oficial
53;TCP,UDP;DNS (Domain Name System - Sistema de nome de domínio);Oficial
57;TCP;MTP, Mail Transfer Protocol (Protocolo de transferência de e-mail);
67;UDP;"BOOTP (BootStrap Protocol) server; também utilizada por DHCP (Protocolo de configuração dinâmica do Host)";Oficial
68;UDP;"BOOTP client; também utilizada por DHCP";Oficial
69;UDP;TFTP(Trivial File Transfer Protocol) (Protocolo de transferência de arquivo trivial);Oficial
70;TCP;Gopher (Protocolo para indexar repositórios);Oficial
79;TCP;Finger protocol (Serviço finger para informações de contato do usuário);Oficial
80;TCP;HTTP (HyperText Transfer Protocol - Procolo de transferência de HiperTexto) - usada para transferir páginas WWW;Oficial
80;TCP;HTTP Alternate (HyperText Transfer Protocol - Protocolo de transferência de HiperTexto);Oficial
